url,adress
https://spb.hh.ru/vacancy/30731155,"Ладожская, Санкт-Петербург, Магнитогорская, 17"
https://spb.hh.ru/vacancy/30772114,"Петроградская, Санкт-Петербург, улица Профессора Попова, 37В"
https://spb.hh.ru/vacancy/28665006,"Горьковская, Санкт-Петербург, Центральный район"
https://spb.hh.ru/vacancy/30641971,"Санкт-Петербург, Чернышевская, "
https://spb.hh.ru/vacancy/30703727,"Спортивная, Санкт-Петербург, Биржевой переулок, 4а"
https://spb.hh.ru/vacancy/30656384,"Санкт-Петербург, Технологический институт, "
https://spb.hh.ru/vacancy/29948914,"Василеостровская, Санкт-Петербург, 13-я линия В.О., 6"
https://spb.hh.ru/vacancy/29914059,"Санкт-Петербург, Чкаловская, "
https://spb.hh.ru/vacancy/30095918,"Санкт-Петербург, Обухово, "
https://spb.hh.ru/vacancy/30759444,"Санкт-Петербург, Сенная площадь, "
https://spb.hh.ru/vacancy/29846610,"Купчино, Санкт-Петербург, Пулковское шоссе, 72"
https://spb.hh.ru/vacancy/30387714,"Парнас, Санкт-Петербург, проспект Энгельса, 154"
https://spb.hh.ru/vacancy/30090800,"Чкаловская, Санкт-Петербург, Левашовский проспект, 13З"
https://spb.hh.ru/vacancy/29704256,"Нарвская, Санкт-Петербург, Лифляндская улица, 6"
https://spb.hh.ru/vacancy/30374691,"Санкт-Петербург, Ладожская, "
https://spb.hh.ru/vacancy/30349861,"Ладожская, Санкт-Петербург, площадь Карла Фаберже, 8к3"
https://spb.hh.ru/vacancy/30312639,"Санкт-Петербург, Пионерская, "
https://spb.hh.ru/vacancy/28976806,"Международная, Санкт-Петербург, Пражская улица, 11"
https://spb.hh.ru/vacancy/30731793,"Улица Дыбенко, Санкт-Петербург, 4 линия, метро Улица Дыбенко"
https://spb.hh.ru/vacancy/30610715,"Автово, Санкт-Петербург"
https://spb.hh.ru/vacancy/30661734,"Пролетарская, Санкт-Петербург, улица Бабушкина, 80"
https://spb.hh.ru/vacancy/30359143,"Санкт-Петербург, Лесная, "
https://spb.hh.ru/vacancy/29696317,"Старая Деревня, Санкт-Петербург, Торфяная дорога, 7"
https://spb.hh.ru/vacancy/30489570,"Санкт-Петербург, Международная, "
https://spb.hh.ru/vacancy/30529161,"Московские ворота, Санкт-Петербург, Ташкентская улица, 4к2У"
https://spb.hh.ru/vacancy/30530398,"Пролетарская, Санкт-Петербург, проспект Обуховской Обороны, 112к2и"
https://spb.hh.ru/vacancy/30750771,"Садовая, Санкт-Петербург, Московский проспект, 10"
https://spb.hh.ru/vacancy/27904476,"Улица Дыбенко, Санкт-Петербург, 4 линия, метро Улица Дыбенко"
https://spb.hh.ru/vacancy/29020385,"Санкт-Петербург, Чкаловская, "
https://spb.hh.ru/vacancy/30348834,"Московская, Санкт-Петербург, Ленинский проспект, 153"
https://spb.hh.ru/vacancy/30630978,"Спортивная, Санкт-Петербург, Большой проспект Петроградской стороны, 18"
https://spb.hh.ru/vacancy/30562406,"Елизаровская, Санкт-Петербург, 3 линия, метро Елизаровская"
https://spb.hh.ru/vacancy/30368796,"Волковская, Санкт-Петербург, Волковский проспект, 32"
https://spb.hh.ru/vacancy/30142515,"Балтийская, Санкт-Петербург, Измайловский проспект, 29И"
https://spb.hh.ru/vacancy/30058468,"Электросила, Санкт-Петербург, Варшавская улица, 2"
https://spb.hh.ru/vacancy/30759720,"Санкт-Петербург, Лесная, "
https://spb.hh.ru/vacancy/30585547,"Санкт-Петербург, Чёрная речка, "
https://spb.hh.ru/vacancy/30338263,"Елизаровская, Санкт-Петербург, 3 линия, метро Елизаровская"
https://spb.hh.ru/vacancy/30304132,"Санкт-Петербург, Проспект Просвещения, "
https://spb.hh.ru/vacancy/30761249,"Парк Победы, Санкт-Петербург, Новоизмайловский проспект, 15"
https://spb.hh.ru/vacancy/30435403,"Петроградская, Санкт-Петербург, проспект Медиков, 3"
https://spb.hh.ru/vacancy/30425250,"Электросила, Санкт-Петербург, Новорощинская улица, 4"
https://spb.hh.ru/vacancy/30437968,"Ленинский проспект, Санкт-Петербург, Ленинский проспект, 140"
https://spb.hh.ru/vacancy/30464587,"Комендантский проспект, Санкт-Петербург, проспект Испытателей, 30"
https://spb.hh.ru/vacancy/30531968,"Санкт-Петербург, Садовая, "
https://spb.hh.ru/vacancy/29568891,"Петроградская, Санкт-Петербург, улица Профессора Попова, 37"
https://spb.hh.ru/vacancy/30718827,"Адмиралтейская, Санкт-Петербург, Галерная улица, 73"
https://spb.hh.ru/vacancy/30601990,"Московская, Санкт-Петербург, Московский проспект, 212"
https://spb.hh.ru/vacancy/30261846,"Бухарестская, Санкт-Петербург, Софийская улица, 14"
https://spb.hh.ru/vacancy/30328973,"Нарвская, Санкт-Петербург, Михайловский переулок, 4"
https://spb.hh.ru/vacancy/30519516,"Выборгская, Санкт-Петербург, Зеленков переулок, 15"
https://spb.hh.ru/vacancy/30561620,"Гражданский проспект, Санкт-Петербург, проспект Просвещения, 85"
https://spb.hh.ru/vacancy/30635074,"Санкт-Петербург, Чернышевская, "
https://spb.hh.ru/vacancy/30202560,"Санкт-Петербург, Девяткино, посёлок Мурино, Кооперативная улица, 20Б"
https://spb.hh.ru/vacancy/26300215,"Выборгская, Санкт-Петербург, 1 линия, метро Выборгская"
https://spb.hh.ru/vacancy/30474328,"Василеостровская, Санкт-Петербург, В.О. 17-линия , 4-6"
https://spb.hh.ru/vacancy/27663915,"Площадь Ленина, Санкт-Петербург, Свердловская набережная, 44Д"
https://spb.hh.ru/vacancy/30274059,"Чкаловская, Санкт-Петербург, Песочная набережная, 42к2"
https://spb.hh.ru/vacancy/30403636,"Бухарестская, Санкт-Петербург, улица Салова, 57к4"
https://spb.hh.ru/vacancy/30245381,"Кировский завод, Санкт-Петербург, Стачек, 47"
https://spb.hh.ru/vacancy/30521441,"Электросила, Санкт-Петербург, Цветочная улица, 25А"
https://spb.hh.ru/vacancy/30375265,"Сенная площадь, Санкт-Петербург, улица Ефимова, 4А"
https://spb.hh.ru/vacancy/30205340,"Ломоносовская, Санкт-Петербург, Софийская улица, 54"
https://spb.hh.ru/vacancy/25022769,"Чернышевская, Санкт-Петербург, ул. Госпитальная, 3"
https://spb.hh.ru/vacancy/30769187,"Московские ворота, Санкт-Петербург, Цветочная улица, 16"
https://spb.hh.ru/vacancy/30355546,"Проспект Просвещения, Санкт-Петербург, проспект Луначарского, 58к1"
https://spb.hh.ru/vacancy/30604592,"Санкт-Петербург, Маяковская, "
https://spb.hh.ru/vacancy/30760157,"Московская, Санкт-Петербург, площадь Конституции, 7"
https://spb.hh.ru/vacancy/30345068,"Ломоносовская, Санкт-Петербург, Железнодорожный проспект, 3"
https://spb.hh.ru/vacancy/30500796,"Улица Дыбенко, Санкт-Петербург, ул.Подвойского, 13к2"
https://spb.hh.ru/vacancy/30772256,"Лесная, Санкт-Петербург, Полюстровский проспект, 50"
https://spb.hh.ru/vacancy/30359189,"Санкт-Петербург, Купчино, посёлок Шушары, 1-й Бадаевский проезд, 11"
https://spb.hh.ru/vacancy/30210123,"Комендантский проспект, Санкт-Петербург, улица Ильюшина, 4К1"
https://spb.hh.ru/vacancy/30476595,"Удельная, Санкт-Петербург, проспект Тореза, 98к1"
https://spb.hh.ru/vacancy/30567440,"Технологический институт, Санкт-Петербург, Державинский переулок, 5"
https://spb.hh.ru/vacancy/25569135,"Чернышевская, Санкт-Петербург, 1 линия"
https://spb.hh.ru/vacancy/30660324,"Нарвская, Санкт-Петербург, Промышленная, 7"
https://spb.hh.ru/vacancy/30519349,"Площадь Ленина, Санкт-Петербург, Кондратьевский проспект, 15к5Б"
https://spb.hh.ru/vacancy/30311520,"Бухарестская, Санкт-Петербург, улица Салова, 72"
https://spb.hh.ru/vacancy/29103613,"Площадь Ленина, Санкт-Петербург, Кондратьевский проспект, 15"
https://spb.hh.ru/vacancy/30497235,"Горьковская, Санкт-Петербург, Большая Посадская улица, 16"
https://spb.hh.ru/vacancy/29579459,"Ладожская, Санкт-Петербург, Индустриальный проспект, 31"
https://spb.hh.ru/vacancy/30369973,"Ладожская, Санкт-Петербург, шоссе Революции, 88Ж"
https://spb.hh.ru/vacancy/30395572,"Гражданский проспект, Санкт-Петербург, проспект Просвещения, 89"
https://spb.hh.ru/vacancy/30687891,"Парк Победы, Санкт-Петербург, улица Ленсовета, 4"
https://spb.hh.ru/vacancy/30464346,"Петроградская, Санкт-Петербург, Каменноостровский проспект, 37"
https://spb.hh.ru/vacancy/30006343,"Чернышевская, Санкт-Петербург, Таврическая улица, 2"
https://spb.hh.ru/vacancy/30364886,"Обухово, Санкт-Петербург, Софийская улица, 95"
https://spb.hh.ru/vacancy/30576104,"Санкт-Петербург, Звёздная, "
https://spb.hh.ru/vacancy/29521471,"Лиговский проспект, Санкт-Петербург, 4 линия, метро Достоевская"
https://spb.hh.ru/vacancy/30613495,"Обводный Канал, Санкт-Петербург, набережная Обводного канала, 60"
https://spb.hh.ru/vacancy/29975845,"Волковская, Санкт-Петербург, Воздухоплавательная улица, 19"
https://spb.hh.ru/vacancy/29783295,"Санкт-Петербург, Девяткино, посёлок Мурино, Кооперативная улица, 20Б"
https://spb.hh.ru/vacancy/30487710,"Василеостровская, Санкт-Петербург, В. О., 21 линия, 6А"
